i,Variety,BinName,Grower,Block,FilledTime,EmptiedTime,ElapsedTime,ElapsedSeconds,EndMoisture,Buyer,ShippedOn,CertWgt,Acceptable
1,Serr,A01,NUT21,D14,2/27/2018 5:26 PM,3/01/2018 15:23,17:52:35,64355,7.3,5723,1/03/2018,9700,yes
2,Serr,A02,NUT21,D14,2/27/2018 5:26 PM,3/01/2018 15:28,17:46:24,63984,6.6,5723,1/03/2018,9700,yes
3,Serr,A03,NUT21,D15,3/01/2018 16:40,3/01/2018 16:40,26:48:05,96485,20.4,5353,1/03/2018,9820,no
4,Serr,A04,NUT21,D15,3/01/2018 16:46,3/01/2018 16:46,26:54:33,96873,17.7,5353,1/03/2018,9820,no
5,Serr,A05,NUT21,D15,2/27/2018 5:32 PM,3/01/2018 16:49,17:52:35,64355,6.8,5353,1/03/2018,9820,yes
6,Serr,A06,NUT21,D15,2/27/2018 5:33 PM,3/01/2018 17:35,17:52:35,64355,7.6,5033,1/03/2018,9950,yes
7,Serr,A07,NUT21,D15,2/27/2018 5:33 PM,3/01/2018 17:41,17:52:11,64331,7.5,5033,1/03/2018,9950,yes
8,Serr,A08,NUT21,H4,2/27/2018 5:41 PM,3/02/2018 7:56,19:08:27,68907,3.5,5500,2/03/2018,8990,yes
9,Serr,A09,NUT21,H4,2/27/2018 5:41 PM,3/02/2018 8:01,38:20:40,138040,3.2,5500,2/03/2018,8990,yes
10,Serr,A10,NUT21,H4,2/27/2018 5:41 PM,3/02/2018 8:04,40:50:05,147005,6.2,5500,2/03/2018,8990,yes
11,Serr,A11,NUT21,H4,2/27/2018 5:42 PM,3/02/2018 8:58,38:45:22,139522,7.5,5500,2/03/2018,8990,yes
12,Serr,B01,NUT21,D15,2/27/2018 6:28 PM,3/04/2018 15:13,61:07:15,220035,3.1,5535,4/03/2018,9720,yes
13,Serr,B02,NUT21,D14,2/27/2018 6:53 PM,3/04/2018 15:19,37:16:52,134212,3.1,5535,4/03/2018,9720,yes
14,Serr,A12,NUT21,D14,3/03/2018 1:12,3/03/2018 1:26,100:14:16,360856,2.6,5535,4/03/2018,9720,yes
15,Serr,B03,NUT21,D16,2/28/2018 8:57 AM,3/02/2018 9:38,40:35:46,146146,7.4,3505,2/03/2018,8500,yes
16,Serr,B04,NUT21,D16,2/28/2018 9:44 AM,3/02/2018 9:38,40:19:04,145144,7.5,3505,2/03/2018,8500,yes
17,Serr,B05,NUT21,D16,2/28/2018 2:23 PM,3/02/2018 10:19,43:56:17,158177,8.1,2855,2/03/2018,8560,yes
18,Serr,B06,NUT21,D16,2/28/2018 2:23 PM,3/02/2018 10:19,43:55:59,158159,8.7,2855,2/03/2018,8560,yes
19,Serr,B07,NUT21,D16,2/28/2018 3:09 PM,3/02/2018 11:03,1:11:55,4315,2.6,5555,2/03/2018,9870,yes
20,Serr,B08,NUT21,D17,2/28/2018 3:34 PM,3/02/2018 11:03,37:33:27,135207,7.7,5555,2/03/2018,9870,yes
21,Serr,B09,NUT21,D17,2/28/2018 3:35 PM,3/02/2018 11:03,35:42:51,128571,7.3,5555,2/03/2018,9870,yes
22,Serr,B10,NUT21,D17,2/28/2018 3:36 PM,3/02/2018 11:03,37:28:29,134909,7.7,5555,2/03/2018,9870,yes
23,Serr,B11,NUT21,D17,2/28/2018 5:10 PM,3/02/2018 12:01,35:19:08,127148,2.7,3558,2/03/2018,8630,yes
24,Serr,B12,NUT21,D17,2/28/2018 5:10 PM,3/02/2018 12:04,35:16:22,126982,7.9,3558,2/03/2018,8630,yes
25,Serr,C01,NUT21,D17,2/28/2018 5:11 PM,3/02/2018 13:26,43:44:07,157447,6.9,3385,2/03/2018,7860,yes
26,Serr,C09,NUT21,D17,3/02/2018 12:58,3/02/2018 13:36,0:05:16,316,99.9,3385,2/03/2018,7860,no
27,Serr,C02,NUT21,H3,2/28/2018 5:31 PM,3/02/2018 12:08,35:56:14,129374,7.7,3558,2/03/2018,8630,yes
28,Serr,C03,NUT21,H3,2/28/2018 6:13 PM,3/02/2018 12:46,37:00:18,133218,3.2,2255,2/03/2018,8850,yes
29,Serr,C04,NUT21,H3,2/28/2018 6:13 PM,3/02/2018 12:52,36:02:03,129723,7.6,2255,2/03/2018,8850,yes
30,Serr,C05,NUT21,H3,2/28/2018 7:07 PM,3/02/2018 4:17,33:10:04,119404,2.5,3385,2/03/2018,7860,yes
31,Serr,C10,NUT21,D18 and E15,2/28/2018 7:21 PM,3/02/2018 13:35,42:13:53,152033,2.7,3385,2/03/2018,7860,yes
32,Serr,C06,NUT21,D16,3/04/2018 15:57,3/04/2018 15:58,10:40:19,38419,5.6,3573,4/03/2018,7620,yes
33,Serr,C11,NUT21,D16,2/28/2018 7:26 PM,3/04/2018 16:10,92:21:09,332469,5.6,3573,4/03/2018,7620,yes
